DATE,ASTDSL
1945-10-01,294652.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,273118.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,271552.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,273266.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,281138.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,287969.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,295060.00
1952-01-01,297181.00
1952-04-01,301294.00
1952-07-01,307448.00
1952-10-01,313492.00
1953-01-01,313432.00
1953-04-01,315865.00
1953-07-01,325182.00
1953-10-01,331557.00
1954-01-01,330286.00
1954-04-01,331739.00
1954-07-01,336272.00
1954-10-01,343474.00
1955-01-01,341555.00
1955-04-01,341869.00
1955-07-01,345916.00
1955-10-01,352435.00
1956-01-01,351166.00
1956-04-01,348020.00
1956-07-01,352211.00
1956-10-01,357605.00
1957-01-01,360112.00
1957-04-01,357116.00
1957-07-01,364912.00
1957-10-01,370184.00
1958-01-01,374076.00
1958-04-01,378590.00
1958-07-01,382030.00
1958-10-01,391832.00
1959-01-01,394480.00
1959-04-01,398384.00
1959-07-01,406262.00
1959-10-01,412227.00
1960-01-01,413378.00
1960-04-01,415230.00
1960-07-01,420184.00
1960-10-01,426176.00
1961-01-01,426841.00
1961-04-01,431101.00
1961-07-01,439376.00
1961-10-01,446545.00
1962-01-01,451347.00
1962-04-01,455190.00
1962-07-01,458709.00
1962-10-01,467878.00
1963-01-01,471812.00
1963-04-01,476899.00
1963-07-01,479265.00
1963-10-01,487016.00
1964-01-01,490732.00
1964-04-01,495161.00
1964-07-01,501671.00
1964-10-01,510673.00
1965-01-01,514454.00
1965-04-01,517524.00
1965-07-01,521285.00
1965-10-01,530370.00
1966-01-01,538869.00
1966-04-01,543696.00
1966-07-01,551280.00
1966-10-01,564127.00
1967-01-01,574056.00
1967-04-01,572998.00
1967-07-01,588762.00
1967-10-01,606734.00
1968-01-01,620368.00
1968-04-01,625520.00
1968-07-01,640487.00
1968-10-01,651537.00
1969-01-01,663030.00
1969-04-01,663440.00
1969-07-01,681943.00
1969-10-01,697608.00
1970-01-01,714183.00
1970-04-01,722126.00
1970-07-01,736821.00
1970-10-01,759160.00
1971-01-01,772728.00
1971-04-01,786029.00
1971-07-01,807806.00
1971-10-01,833382.00
1972-01-01,849559.00
1972-04-01,857684.00
1972-07-01,871734.00
1972-10-01,896276.00
1973-01-01,914088.00
1973-04-01,925772.00
1973-07-01,941846.00
1973-10-01,966107.00
1974-01-01,984888.0
1974-04-01,1003966.0
1974-07-01,1033644.0
1974-10-01,1063695.0
1975-01-01,1102549.0
1975-04-01,1136545.0
1975-07-01,1168947.0
1975-10-01,1220092.0
1976-01-01,1261685.0
1976-04-01,1300668.0
1976-07-01,1335783.0
1976-10-01,1375994.0
1977-01-01,1412862.0
1977-04-01,1446325.0
1977-07-01,1494688.0
1977-10-01,1546829.0
1978-01-01,1592378.0
1978-04-01,1636947.0
1978-07-01,1685939.0
1978-10-01,1745755.0
1979-01-01,1789864.0
1979-04-01,1827134.0
1979-07-01,1884333.0
1979-10-01,1945223.0
1980-01-01,2000401.0
1980-04-01,2051465.0
1980-07-01,2113674.0
1980-10-01,2168775.0
1981-01-01,2231383.0
1981-04-01,2283111.0
1981-07-01,2368101.0
1981-10-01,2445573.0
1982-01-01,2517736.0
1982-04-01,2587837.0
1982-07-01,2701027.0
1982-10-01,2816765.0
1983-01-01,2906614.0
1983-04-01,3017084.0
1983-07-01,3132974.0
1983-10-01,3212986.0
1984-01-01,3313168.0
1984-04-01,3431336.0
1984-07-01,3574030.0
1984-10-01,3720813.0
1985-01-01,3856651.0
1985-04-01,4011863.0
1985-07-01,4177954.0
1985-10-01,4489890.0
1986-01-01,4619109.0
1986-04-01,4821748.0
1986-07-01,5023017.0
1986-10-01,5237298.0
1987-01-01,5399496.0
1987-04-01,5557951.0
1987-07-01,5714592.0
1987-10-01,5888863.0
1988-01-01,6003975.0
1988-04-01,6143288.0
1988-07-01,6302406.0
1988-10-01,6543018.0
1989-01-01,6709422.0
1989-04-01,6815142.0
1989-07-01,6949453.0
1989-10-01,7139716.0
1990-01-01,7289047.0
1990-04-01,7424935.0
1990-07-01,7579782.0
1990-10-01,7786737.0
1991-01-01,7914582.0
1991-04-01,8037252.0
1991-07-01,8245193.0
1991-10-01,8456861.0
1992-01-01,8623651.0
1992-04-01,8809102.0
1992-07-01,9000756.0
1992-10-01,9176761.0
1993-01-01,9374595.0
1993-04-01,9582616.0
1993-07-01,9840803.0
1993-10-01,10117351.0
1994-01-01,10320330.0
1994-04-01,10453228.0
1994-07-01,10611810.0
1994-10-01,10837955.0
1995-01-01,10990282.0
1995-04-01,11170436.0
1995-07-01,11331872.0
1995-10-01,11582062.0
1996-01-01,11795235.0
1996-04-01,11985720.0
1996-07-01,12156705.0
1996-10-01,12418449.0
1997-01-01,12579271.0
1997-04-01,12741757.0
1997-07-01,12938997.0
1997-10-01,13235680.0
1998-01-01,13579542.0
1998-04-01,13885985.0
1998-07-01,14128098.0
1998-10-01,14479745.0
1999-01-01,14848582.0
1999-04-01,15065494.0
1999-07-01,15382138.0
1999-10-01,15650893.0
2000-01-01,15838333.0
2000-04-01,15892512.0
2000-07-01,16120562.0
2000-10-01,16396630.0
2001-01-01,16730435.0
2001-04-01,16900500.0
2001-07-01,17248740.0
2001-10-01,17703428.0
2002-01-01,18020808.0
2002-04-01,18323582.0
2002-07-01,18618768.0
2002-10-01,19134684.0
2003-01-01,19463097.0
2003-04-01,19888595.0
2003-07-01,20277030.0
2003-10-01,20825669.0
2004-01-01,21995092.0
2004-04-01,22294367.0
2004-07-01,22709567.0
2004-10-01,23190749.0
2005-01-01,23672289.0
2005-04-01,23990999.0
2005-07-01,24209036.0
2005-10-01,24774870.0
2006-01-01,25302154.0
2006-04-01,25774472.0
2006-07-01,26236211.0
2006-10-01,26877668.0
2007-01-01,27718834.0
2007-04-01,28246215.0
2007-07-01,28936560.0
2007-10-01,29551108.0
2008-01-01,29972033.0
2008-04-01,30256537.0
2008-07-01,30532617.0
2008-10-01,31068266.0
2009-01-01,31373325.0
2009-04-01,31622024.0
2009-07-01,31954190.0
2009-10-01,32160303.0
2010-01-01,32249371.0
2010-04-01,32418355.0
2010-07-01,32897608.0
2010-10-01,33523320.0
2011-01-01,33870599.0
2011-04-01,33833251.0
2011-07-01,34170578.0
2011-10-01,34501295.0
2012-01-01,34969594.0
2012-04-01,35074041.0
2012-07-01,35681786.0
2012-10-01,36056760.0
2013-01-01,36530357.0
2013-04-01,36301393.0
2013-07-01,36456800.0
2013-10-01,37178088.0
2014-01-01,37492813.0
2014-04-01,37738079.0
2014-07-01,38029587.0
2014-10-01,38508333.0
2015-01-01,38598338.0
2015-04-01,38722478.0
2015-07-01,38805564.0
2015-10-01,39438134.0
2016-01-01,39955830.0
2016-04-01,40221410.0
2016-07-01,40701843.0
2016-10-01,40966680.0
2017-01-01,41115116.0
2017-04-01,41356131.0
2017-07-01,42088408.0
2017-10-01,42609233.0
2018-01-01,43393110.0
2018-04-01,43501997.0
2018-07-01,43983818.0
2018-10-01,44498571.0
2019-01-01,44809215.0
2019-04-01,45102045.0
2019-07-01,46098891.0
2019-10-01,46724387.0
2020-01-01,47741838.0
2020-04-01,51203777.0
2020-07-01,51915877.0
2020-10-01,53108991.0
2021-01-01,53804076.0
2021-04-01,54574168.0
2021-07-01,54912165.0
2021-10-01,56187773.0
